origin_index,origin_utc,horizon_days,window_end_exclusive_utc,magnitude_threshold,primary,numerical_check
0,2007-01-01T00:00:00Z,1,2007-01-02T00:00:00Z,3.5,0,1
0,2007-01-01T00:00:00Z,1,2007-01-02T00:00:00Z,4.5,0,1
0,2007-01-01T00:00:00Z,1,2007-01-02T00:00:00Z,5.5,0,1
0,2007-01-01T00:00:00Z,7,2007-01-08T00:00:00Z,3.5,0,1
0,2007-01-01T00:00:00Z,7,2007-01-08T00:00:00Z,4.5,1,1
0,2007-01-01T00:00:00Z,7,2007-01-08T00:00:00Z,5.5,0,1
0,2007-01-01T00:00:00Z,30,2007-01-31T00:00:00Z,3.5,0,1
0,2007-01-01T00:00:00Z,30,2007-01-31T00:00:00Z,4.5,0,1
0,2007-01-01T00:00:00Z,30,2007-01-31T00:00:00Z,5.5,0,1
1,2007-01-08T00:00:00Z,1,2007-01-09T00:00:00Z,3.5,0,0
1,2007-01-08T00:00:00Z,1,2007-01-09T00:00:00Z,4.5,0,0
1,2007-01-08T00:00:00Z,1,2007-01-09T00:00:00Z,5.5,0,0
1,2007-01-08T00:00:00Z,7,2007-01-15T00:00:00Z,3.5,0,0
1,2007-01-08T00:00:00Z,7,2007-01-15T00:00:00Z,4.5,1,0
1,2007-01-08T00:00:00Z,7,2007-01-15T00:00:00Z,5.5,0,0
1,2007-01-08T00:00:00Z,30,2007-02-07T00:00:00Z,3.5,0,0
1,2007-01-08T00:00:00Z,30,2007-02-07T00:00:00Z,4.5,0,0
1,2007-01-08T00:00:00Z,30,2007-02-07T00:00:00Z,5.5,0,0
2,2007-01-15T00:00:00Z,1,2007-01-16T00:00:00Z,3.5,0,0
2,2007-01-15T00:00:00Z,1,2007-01-16T00:00:00Z,4.5,0,0
2,2007-01-15T00:00:00Z,1,2007-01-16T00:00:00Z,5.5,0,0
2,2007-01-15T00:00:00Z,7,2007-01-22T00:00:00Z,3.5,0,0
2,2007-01-15T00:00:00Z,7,2007-01-22T00:00:00Z,4.5,1,0
2,2007-01-15T00:00:00Z,7,2007-01-22T00:00:00Z,5.5,0,0
2,2007-01-15T00:00:00Z,30,2007-02-14T00:00:00Z,3.5,0,0
2,2007-01-15T00:00:00Z,30,2007-02-14T00:00:00Z,4.5,0,0
2,2007-01-15T00:00:00Z,30,2007-02-14T00:00:00Z,5.5,0,0
3,2007-01-22T00:00:00Z,1,2007-01-23T00:00:00Z,3.5,0,0
3,2007-01-22T00:00:00Z,1,2007-01-23T00:00:00Z,4.5,0,0
3,2007-01-22T00:00:00Z,1,2007-01-23T00:00:00Z,5.5,0,0
3,2007-01-22T00:00:00Z,7,2007-01-29T00:00:00Z,3.5,0,0
3,2007-01-22T00:00:00Z,7,2007-01-29T00:00:00Z,4.5,1,0
3,2007-01-22T00:00:00Z,7,2007-01-29T00:00:00Z,5.5,0,0
3,2007-01-22T00:00:00Z,30,2007-02-21T00:00:00Z,3.5,0,0
3,2007-01-22T00:00:00Z,30,2007-02-21T00:00:00Z,4.5,0,0
3,2007-01-22T00:00:00Z,30,2007-02-21T00:00:00Z,5.5,0,0
4,2007-01-29T00:00:00Z,1,2007-01-30T00:00:00Z,3.5,0,0
4,2007-01-29T00:00:00Z,1,2007-01-30T00:00:00Z,4.5,0,0
