partition,start_inclusive,end_exclusive,magnitude_cutoff,events
Auxiliary history,1971-01-01,1981-01-01,2.5,14932
Auxiliary history,1971-01-01,1981-01-01,3.0,6396
Auxiliary history,1971-01-01,1981-01-01,3.5,2173
Training,1981-01-01,1998-01-01,2.5,40701
Training,1981-01-01,1998-01-01,3.0,12933
Training,1981-01-01,1998-01-01,3.5,3860
Validation,1998-01-01,2007-01-01,2.5,14741
Validation,1998-01-01,2007-01-01,3.0,4601
Validation,1998-01-01,2007-01-01,3.5,1312
Test catalog,2007-01-01,2020-01-17,2.5,21889
Test catalog,2007-01-01,2020-01-17,3.0,7007
Test catalog,2007-01-01,2020-01-17,3.5,2373
